"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209080ram","HigbTy00","TE","Tyler Higbee","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,39,0,11,0,0,0,0,0,0,"LAR","BUF",0,0,0,0,0,0,8.9,8.9,6.4,6.4,6.4,6.4,0,0,0,0,0,0,0,18.7,27,2,63,94,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","SkowBe00","WR","Ben Skowronek","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,25,0,12,0,0,0,0,0,0,"LAR","BUF",0,0,0,0,0,0,6.5,6.5,4.5,4.5,4.5,4.5,0,0,0,0,0,0,0,66,9,0,59,88,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","RobiAl02","WR","Allen Robinson","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,12,0,0,0,0,0,0,"LAR","BUF",0,0,0,0,0,0,2.2,2.2,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,28,0,0,65,97,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","AkerCa00","RB","Cam Akers","LAR",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,"LAR","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","AtweTu00","WR","Tutu Atwell","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"LAR","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,10,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","GillRe00","FB","Reggie Gilliam","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","KumeJa00","WR","Jake Kumerow","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","SweeTo00","TE","Tommy Sweeney","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","HopkBr01","TE","Brycen Hopkins","LAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAR","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209110atl","WinsJa00","QB","Jameis Winston","NOR",23,34,269,2,0,4,35,40,111,2,9,0,6,0,0,0,0,0,0,2,0,40,40,0,"NOR","ATL",1,0,0,0,0,0,21.66,21.66,21.66,21.66,21.66,21.66,298,5,13,3,0,9,0,0,0,0,61,100,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","HillTa00","QB","Taysom Hill","NOR",0,0,0,0,0,0,0,0,0,4,81,1,57,1,1,2,0,2,0,0,4,4,0,4,"NOR","ATL",0,0,0,0,0,0,15.3,15.3,14.8,14.8,14.8,14.8,0,0,0,0,51,30,0,2,0,0,16,26,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","KamaAl00","RB","Alvin Kamara","NOR",0,0,0,0,0,0,0,0,0,9,39,0,15,4,3,7,0,15,0,0,9,9,0,9,"NOR","ATL",0,0,0,0,0,0,7.6,7.6,6.1,6.1,6.1,6.1,0,0,0,0,16,23,1,1.2,14,0,38,62,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","IngrMa01","RB","Mark Ingram","NOR",0,0,0,0,0,0,0,0,0,4,22,0,7,1,1,1,0,1,1,0,4,4,0,4,"NOR","ATL",0,0,0,0,0,0,2.3,2.3,0.8,0.8,0.8,0.8,0,0,0,0,10,12,0,-6,7,0,20,33,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","HarrDe07","WR","Deonte Harty","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,0,0,0,0,"NOR","ATL",0,0,0,0,0,0,1.4,1.4,0.9,0.9,0.9,0.9,0,0,0,0,0,0,0,-4,8,0,7,11,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
