"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209110was","0","0",0,0,2,2,0,0,0,0,0,0,"Joey Slye",2,2,2,"JAX","ERROR - abbrev_team",22,28,"False","outdoors","grass ",72,45,0,-3,"ERROR - abbrev_team",43,2022-09-11
"202209110was","JAX","ERROR - abbrev_team",4,3,1,1,2,1,2,2,0,0,"Riley Patterson",12,12,12,"JAX","ERROR - abbrev_team",22,28,"False","outdoors","grass ",72,45,0,-3,"ERROR - abbrev_team",43,2022-09-11
"202209120sea","DEN","SEA",4,3,1,1,2,2,1,1,1,0,"Brandon McManus",11,11,11,"DEN","SEA",16,17,"False","outdoors","fieldturf ",72,45,0,-6.5,"DEN",44.5,2022-09-12
"202209120sea","SEA","DEN",1,1,2,2,0,0,1,1,0,0,"Jason Myers",6,6,6,"DEN","SEA",16,17,"False","outdoors","fieldturf ",72,45,0,-6.5,"DEN",44.5,2022-09-12
"202209150kan","KAN","LAC",2,2,3,3,2,2,0,0,0,0,"Matt Ammendola",9,9,9,"LAC","KAN",24,27,"False","outdoors","grass ",72,45,0,-4,"KAN",54,2022-09-15
"202209150kan","LAC","KAN",1,1,3,3,1,1,0,0,0,0,"Dustin Hopkins",6,6,6,"LAC","KAN",24,27,"False","outdoors","grass ",72,45,0,-4,"KAN",54,2022-09-15
"202209180cle","CLE","NYJ",1,1,4,3,1,1,0,0,0,0,"Cade York",6,6,6,"NYJ","CLE",31,30,"False","outdoors","grass ",72,45,0,-6.5,"CLE",39.5,2022-09-18
"202209180cle","NYJ","CLE",1,1,4,4,0,0,0,0,1,1,"Greg Zuerlein",9,9,9,"NYJ","CLE",31,30,"False","outdoors","grass ",72,45,0,-6.5,"CLE",39.5,2022-09-18
"202209180dal","CIN","DAL",3,3,0,0,0,0,2,2,1,1,"Evan McPherson",13,13,13,"CIN","DAL",17,20,"False","retractable roof (closed)","matrixturf",72,45,0,-7,"CIN",42,2022-09-18
"202209180dal","DAL","CIN",2,2,2,2,0,0,0,0,2,2,"Brett Maher",12,12,12,"CIN","DAL",17,20,"False","retractable roof (closed)","matrixturf",72,45,0,-7,"CIN",42,2022-09-18
"202209180den","DEN","HOU",3,3,1,1,0,0,0,0,0,0,"Brandon McManus",1,1,1,"HOU","DEN",9,16,"False","outdoors","grass ",72,45,0,-10,"DEN",45.5,2022-09-18
"202209180den","HOU","DEN",3,3,0,0,1,1,2,2,0,0,"Ka'imi Fairbairn",11,11,11,"HOU","DEN",9,16,"False","outdoors","grass ",72,45,0,-10,"DEN",45.5,2022-09-18
"202209180det","DET","ERROR - abbrev_team",2,2,4,4,1,1,1,1,0,0,"Austin Seibert",11,11,11,"ERROR - abbrev_team","DET",27,36,"False","dome","fieldturf ",72,45,0,-1.5,"DET",48.5,2022-09-18
"202209180det","0","0",0,0,2,1,0,0,0,0,0,0,"Joey Slye",1,1,1,"ERROR - abbrev_team","DET",27,36,"False","dome","fieldturf ",72,45,0,-1.5,"DET",48.5,2022-09-18
"202209180gnb","CHI","GNB",1,1,1,1,0,0,1,1,0,0,"Cairo Santos",5,5,5,"CHI","GNB",10,27,"False","outdoors","grass ",72,45,0,-10,"GNB",41.5,2022-09-18
"202209180gnb","GNB","CHI",2,2,3,3,1,1,1,1,0,0,"Mason Crosby",10,10,10,"CHI","GNB",10,27,"False","outdoors","grass ",72,45,0,-10,"GNB",41.5,2022-09-18
"202209180jax","JAX","IND",1,1,3,3,0,0,0,0,0,0,"Riley Patterson",3,3,3,"IND","JAX",0,24,"False","outdoors","grass ",72,45,0,-3,"IND",45,2022-09-18
"202209180nor","TAM","NOR",2,2,2,2,0,0,2,2,0,0,"Ryan Succop",10,10,10,"TAM","NOR",20,10,"False","dome","sportturf",72,45,0,-2.5,"TAM",44,2022-09-18
"202209180nor","NOR","TAM",1,1,1,1,1,1,0,0,0,0,"Wil Lutz",4,4,4,"TAM","NOR",20,10,"False","dome","sportturf",72,45,0,-2.5,"TAM",44,2022-09-18
"202209180nyg","CAR","NYG",3,3,1,1,3,3,0,0,0,0,"Eddy Pineiro",10,10,10,"CAR","NYG",16,19,"False","outdoors","fieldturf ",72,45,0,-2,"NYG",43.5,2022-09-18
"202209180nyg","NYG","CAR",4,4,1,1,2,2,0,0,2,2,"Graham Gano",17,17,17,"CAR","NYG",16,19,"False","outdoors","fieldturf ",72,45,0,-2,"NYG",43.5,2022-09-18
"202209180pit","NWE","PIT",2,1,2,2,1,1,0,0,1,0,"Nick Folk",5,5,5,"NWE","PIT",17,14,"False","outdoors","grass ",72,45,0,-2.5,"NWE",40.5,2022-09-18
"202209180pit","PIT","NWE",2,2,0,0,1,1,0,0,1,1,"Chris Boswell",8,8,8,"NWE","PIT",17,14,"False","outdoors","grass ",72,45,0,-2.5,"NWE",40.5,2022-09-18
"202209180rai","LVR","ARI",3,3,2,2,0,0,0,0,0,0,"Daniel Carlson",2,2,2,"ARI","LVR",29,23,"True","dome","grass",72,45,0,-5.5,"LVR",51.5,2022-09-18
"202209180rai","0","0",0,0,1,1,0,0,0,0,0,0,"Matt Prater",1,1,1,"ARI","LVR",29,23,"True","dome","grass",72,45,0,-5.5,"LVR",51.5,2022-09-18
"202209180ram","ATL","LAR",2,1,2,2,0,0,0,0,0,0,"Younghoe Koo",2,2,2,"ATL","LAR",27,31,"False","dome","matrixturf",72,45,0,-10,"LAR",46.5,2022-09-18
"202209180ram","LAR","ATL",1,1,4,4,1,1,0,0,0,0,"Matt Gay",7,7,7,"ATL","LAR",27,31,"False","dome","matrixturf",72,45,0,-10,"LAR",46.5,2022-09-18
"202209180rav","0","0",0,0,6,6,0,0,0,0,0,0,"Jason Sanders",6,6,6,"MIA","BAL",42,38,"False","outdoors","grass",72,45,0,-3.5,"BAL",44.5,2022-09-18
"202209180rav","BAL","MIA",1,1,5,5,0,0,0,0,1,1,"Justin Tucker",10,10,10,"MIA","BAL",42,38,"False","outdoors","grass",72,45,0,-3.5,"BAL",44.5,2022-09-18
"202209180sfo","0","0",0,0,1,1,0,0,0,0,0,0,"Jason Myers",1,1,1,"SEA","SFO",7,27,"False","outdoors","grass",72,45,0,-9,"SFO",40.5,2022-09-18
"202209180sfo","SFO","SEA",3,2,3,3,3,2,0,0,0,0,"Robbie Gould",9,9,9,"SEA","SFO",7,27,"False","outdoors","grass",72,45,0,-9,"SFO",40.5,2022-09-18
"202209190buf","BUF","TEN",2,2,5,5,0,0,0,0,0,0,"Tyler Bass",5,5,5,"TEN","BUF",7,41,"False","outdoors","a_turf",72,45,0,-10,"BUF",47.5,2022-09-19
"202209190buf","0","0",0,0,1,1,0,0,0,0,0,0,"Randy Bullock",1,1,1,"TEN","BUF",7,41,"False","outdoors","a_turf",72,45,0,-10,"BUF",47.5,2022-09-19
"202209190phi","0","0",0,1,3,3,1,1,1,0,0,0,"Jake Elliott",6,6,6,"MIN","PHI",7,24,"False","outdoors","grass ",72,45,0,-2.5,"PHI",50.5,2022-09-19
"202209190phi","0","0",0,0,1,1,0,0,0,0,0,0,"Greg Joseph",1,1,1,"MIN","PHI",7,24,"False","outdoors","grass ",72,45,0,-2.5,"PHI",50.5,2022-09-19
"202209220cle","CLE","PIT",1,1,3,2,1,1,0,0,0,0,"Cade York",5,5,5,"PIT","CLE",17,29,"False","outdoors","grass ",72,45,0,-4.5,"CLE",38.5,2022-09-22
"202209220cle","PIT","CLE",2,1,2,2,1,1,0,0,1,0,"Chris Boswell",5,5,5,"PIT","CLE",17,29,"False","outdoors","grass ",72,45,0,-4.5,"CLE",38.5,2022-09-22
"202209250car","CAR","NOR",3,3,1,1,1,1,2,2,0,0,"Eddy Pineiro",12,12,12,"NOR","CAR",14,22,"False","outdoors","grass ",72,45,0,-2.5,"NOR",41,2022-09-25
"202209250car","NOR","CAR",2,0,2,2,1,0,1,0,0,0,"Wil Lutz",2,2,2,"NOR","CAR",14,22,"False","outdoors","grass ",72,45,0,-2.5,"NOR",41,2022-09-25
"202209250chi","CHI","HOU",3,3,2,2,0,0,0,0,0,0,"Cairo Santos",2,2,2,"HOU","CHI",20,23,"False","outdoors","grass ",72,45,0,-3,"CHI",39,2022-09-25
